Ward,Locality/Thana,Area FAR
Ward-01,Khilgaon,2.2
Ward-02,Gorans,2.1
Ward-03,Khilgaon,2.1
Ward-04,Basabo,2.2
Ward-05,Sabujbagh,2.1
Ward-06,Mugdapara,2.1
Ward-07,Mugdapara,2.1
Ward-08,Motijheel/Kamalapur,2.2
Ward-09,Motijheel,2.3
Ward-10,Motijheel,2.2
Ward-11,Shahjahanpur,2.1
Ward-12,Malgibagh,2.1
Ward-13,Paltan,2.2
Ward-14,Jigatola,2.5
Ward-15,Dhanmondi,2.8
Ward-16,Dhanmondi,2.6
Ward-17,Kalabagan,2.6
Ward-18,New Market,2.4
Ward-19,Ramna/Siddeshwari,2.5
Ward-20,Segunbagicha,2.4
Ward-21,Shahbagh/Paribagh,2.7
Ward-22,Hazaribagh,2.5
Ward-23,Hazaribagh,2.5
Ward-24,Shahidnagar,2.7
Ward-25,Lalbagh,3.0
Ward-26,Azimpur,2.5
Ward-27,Bakshibazar,2.4
Ward-28,Chawkbazar,2.4
Ward-29,Islambagh,3.0
Ward-30,Chawkbazar,2.3
Ward-31,Armanitola,2.7
Ward-32,Bangshal,2.5
Ward-33,Bongshal,2.4
Ward-34,Nazira Bazar,2.5
Ward-35,Noya Bazar,2.6
Ward-36,Kotwali,2.1
Ward-37,Kotwali,2.2
Ward-38,Wari,2.3
Ward-39,Wari/Tikatuli,2.2
Ward-40,Sutrapur,2.2
Ward-41,Sutrapur/Wari,2.2
Ward-42,Laxmi Bazar,2.0
Ward-43,Sadarghat,2.4
Ward-44,Sutrapur,2.2
Ward-45,Gandaria,2.2
Ward-46,Gandaria,2.1
Ward-47,Shyampar,2.1
Ward-48,Jatrabari,2.1
Ward-49,Jatrabari,2.1
Ward-50,Jatrabari,2.1
Ward-51,Jurain,2.1
Ward-52,Muradpur,2.1
Ward-53,Jurain,2.1
Ward-54,Jurain,2.1
Ward-55,Kamrangirchar,2.1
Ward-56,Kamrangirchar,2.1
Ward-57,Kamrangirchar,2.1
Ward-58,Ext. Ward (Kadamtali),1.9
Ward-59,Ext. Ward (Kadamtali),1.8
Ward-60,Ext. Ward (Kadamtali),1.8
Ward-61,Ext. Ward (Kadamtali),1.8
Ward-62,Ext. Ward (Jatrabari),1.8
Ward-63,Ext. Ward (Jatrabari),1.8
Ward-64,Ext. Ward (Jatrabari),1.8
Ward-65,Ext. Ward (Jatrabari),1.8
Ward-66,Ext. Ward (Demra),1.8
Ward-67,Ext. Ward (Demra),1.8
Ward-68,Ext. Ward (Demra),1.8
Ward-69,Ext. Ward (Demra),1.8
Ward-70,Ext. Ward (Demra),1.8
Ward-71,Ext. Ward (Mugda),1.8
Ward-72,Ext. Ward (Mugda),1.8
Ward-73,Ext. Ward (Khilgaon),1.8
Ward-74,Ext. Ward (Khilgaon),1.8
Ward-75,Ext. Ward (Khilgaon),1.8
